Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00    20002     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      0.07     0.00    20002     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      0.07     0.00    20002     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.07     0.00    20002     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.07     0.00    20002     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.07     0.00    20002     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.07     0.00    10007     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.07     0.00    10004     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.07     0.00    10004     0.00     0.00  bool std::operator!=<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.07     0.00    10004     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.07     0.00    10001     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.07     0.00    10001     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.07     0.00    10001     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.07     0.00    10001     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.07     0.00    10001     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00      0.07     0.00    10001     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.07     0.00    10001     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.07     0.00    10001     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator++()
  0.00      0.07     0.00    10001     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.07     0.00    10001     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.07     0.00    10001     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.07     0.00    10001     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.00      0.07     0.00    10001     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.00      0.07     0.00    10001     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  0.00      0.07     0.00    10001     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      0.07     0.00    10001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.07     0.00    10001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.00      0.07     0.00    10001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00      0.07     0.00    10001     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.07     0.00    10001     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      0.07     0.00    10001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int const&)
  0.00      0.07     0.00    10001     0.00     0.00  std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&)
  0.00      0.07     0.00     1380     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.07     0.00      892     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.07     0.00      658     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.07     0.00      268     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.07     0.00      239     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      0.07     0.00      239     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.07     0.00      234     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.07     0.00      234     0.00     0.00  std::deque<int, std::allocator<int> >::max_size() const
  0.00      0.07     0.00      234     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.07     0.00      234     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
  0.00      0.07     0.00      234     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reserve_map_at_back(unsigned long)
  0.00      0.07     0.00      234     0.00     0.00  std::_Deque_iterator<int, int&, int*>::difference_type std::operator-<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.07     0.00      161     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.07     0.00      156     0.00     0.00  std::deque<int, std::allocator<int> >::_M_pop_back_aux()
  0.00      0.07     0.00       36     0.00     0.00  int** std::__niter_base<int**>(int**)
  0.00      0.07     0.00       34     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
